concurso,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15
1699,4,5,6,8,9,10,13,14,15,16,19,21,23,24,25
1700,1,2,3,6,7,8,12,13,14,16,20,21,22,23,24
1701,1,2,3,5,6,7,8,10,13,16,17,18,20,21,22
1702,3,4,5,7,8,10,11,14,15,16,17,18,19,22,25
1703,1,3,6,8,9,10,12,13,14,15,16,17,18,19,22
1704,2,4,6,7,9,10,11,12,13,14,16,18,19,20,22
1705,2,3,4,5,9,12,14,16,17,18,19,20,21,23,24
1706,2,3,4,5,7,8,9,12,13,14,15,17,18,20,21
1707,2,5,9,10,11,12,13,16,17,18,19,21,22,23,25
1708,1,2,3,4,6,7,8,9,10,12,13,14,17,18,22
1709,1,3,4,5,11,12,13,15,18,19,20,21,22,23,24
1710,2,4,5,6,7,9,10,11,12,17,20,21,22,24,25
1711,1,2,3,4,5,8,10,11,13,14,18,19,20,21,23
1712,1,3,5,6,7,10,13,14,15,16,17,18,23,24,25
1713,1,4,8,9,10,12,13,15,16,17,19,20,21,23,24
1714,1,3,5,6,7,8,10,14,15,18,19,21,22,23,24
1715,1,2,4,6,8,11,13,16,17,18,19,21,22,24,25
1716,1,3,4,5,7,10,11,12,13,16,17,22,23,24,25
1717,1,3,4,5,7,8,9,10,11,14,15,21,22,23,24
1718,2,3,5,6,7,8,10,11,12,17,18,20,21,22,24
1719,2,3,4,6,10,11,13,15,17,18,20,21,23,24,25
1720,2,3,4,9,10,11,13,15,17,18,20,22,23,24,25
1721,1,3,4,5,6,8,11,13,14,15,16,19,21,24,25
1722,2,4,5,7,8,11,12,14,15,17,19,21,22,23,25
1723,1,2,4,6,7,10,11,12,13,14,17,18,19,21,22
1724,5,6,7,9,10,11,12,13,15,16,18,20,21,22,23
1725,1,5,6,8,12,13,14,15,18,19,21,22,23,24,25
1726,1,3,5,6,8,10,11,12,14,15,17,19,20,22,25
1727,1,2,5,6,7,9,10,13,14,15,16,20,21,22,24
1728,2,3,5,6,7,8,9,10,11,12,14,15,17,21,22
1729,1,2,4,6,8,9,10,11,12,14,16,18,21,24,25
1730,1,7,8,10,12,13,14,15,16,18,19,22,23,24,25
1731,1,3,5,7,8,9,10,13,14,17,19,20,22,24,25
1732,1,3,5,9,10,12,13,14,17,18,19,20,21,22,24
